% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
24 +9.904194342e+02 +9.904194342e+02 +1.028119434e+03 +1.028119434e+03 +4.6390e+00 +1.9063e-01 +2.0910e+00 +3.9290e+00 -1.4311e+00 +3.9294e+00 +9.6707e-01 -4.3856e+00 +2.5635e-01 +2.9782e+00 -4.2173e+00 -3.4405e+00 -3.9242e+00 +1.8532e+00 -3.6812e-01 -4.3157e+00 -1.9324e-01 -8.7320e-01 +1.2051e+00 +4.0219e-01
1041 +6.144565129e+02 +6.144565129e+02 +6.521565129e+02 +6.521565129e+02 +2.1079e+00 +3.1275e+00 -1.8530e+00 -4.0019e+00 -3.0409e+00 +4.0618e+00 -3.1463e+00 +2.3220e+00 +1.2640e+00 -4.2632e+00 -2.2303e+00 -3.0285e+00 +5.5533e-01 +2.0249e+00 +2.7497e+00 -4.8190e-01 -2.5395e+00 -3.6101e+00 +4.3826e+00 +1.9864e+00
621 +4.954336509e+02 +4.954336509e+02 +5.331336509e+02 +5.331336509e+02 +1.1648e-01 -3.2886e+00 +1.9263e+00 +4.5556e-02 -2.6389e+00 +2.1922e+00 +4.3307e-01 -3.3542e+00 +2.6146e+00 +2.2220e+00 -2.4584e+00 -1.5492e+00 +1.6896e-01 +1.5185e+00 +2.0359e+00 -8.0628e-01 -4.6668e+00 -4.0595e+00 +3.9331e+00 +2.2913e+00
% function evaluation | noise-free fitness - Fopt (6.956900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.359770034e+03 +1.359770034e+03 +2.055460034e+03 +2.055460034e+03 -2.3580e+00 +1.5400e+00 -4.0024e+00 -3.2035e+00 +4.4430e+00 -1.2154e+00 -3.4915e+00 +9.5008e-01 +4.8931e-01 -4.6312e+00 +3.9631e+00 +3.3756e+00 -1.8172e+00 +6.0409e-01 -3.8516e+00 +2.5297e+00 +1.3052e+00 +3.1510e+00 -8.9472e-01 +1.3481e-01
7 +8.619274594e+02 +8.619274594e+02 +1.557617459e+03 +1.557617459e+03 +3.9020e+00 -3.2457e+00 +4.1649e+00 +1.2783e+00 +4.0910e+00 -9.8735e-01 -1.1372e+00 -2.8391e+00 +1.6892e+00 +3.0664e-01 -4.7043e+00 +7.9908e-01 -2.6799e+00 -1.5064e-01 -3.3998e+00 -3.7318e+00 +2.5873e+00 -4.7402e-01 -4.7306e+00 -3.3141e+00
402 +5.857770653e+02 +5.857770653e+02 +1.281467065e+03 +1.281467065e+03 -1.8247e+00 +1.8974e-01 -1.8018e+00 -4.5398e-01 +9.0143e-01 -4.8122e+00 +1.2620e+00 -1.3776e+00 +3.0980e+00 -1.7506e+00 +2.2623e+00 -1.4262e+00 +1.9300e+00 -2.1219e+00 -1.2640e+00 -9.2333e-01 -1.8748e-01 +7.2482e-01 -4.8971e+00 +6.6394e-02
% function evaluation | noise-free fitness - Fopt (-1.180300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.470828009e+03 +2.470828009e+03 +2.352798009e+03 +2.352798009e+03 +1.5966e+00 -3.8093e+00 -1.5303e+00 -4.9366e+00 -1.9292e+00 -3.0941e+00 -3.6090e+00 +4.1497e+00 +1.9158e+00 -2.0291e+00 +4.6133e+00 +1.7859e+00 +2.7913e-01 +4.1789e+00 -4.7535e+00 +3.0074e+00 +1.7089e+00 +2.4035e+00 -3.1625e+00 -1.4681e+00
2 +1.078638476e+03 +1.078638476e+03 +9.606084755e+02 +9.606084755e+02 -1.5392e+00 +3.8416e+00 +3.0868e+00 +2.8115e+00 +3.7441e+00 +7.6559e-01 -4.7277e+00 -2.8246e+00 -2.9854e+00 +3.4672e+00 +1.4389e+00 -8.7525e-01 +3.8992e+00 -3.6652e+00 +1.8089e+00 +1.4589e+00 +4.9220e-01 -1.2461e+00 -1.4620e+00 -2.9043e-03
57 +7.656599313e+02 +7.656599313e+02 +6.476299313e+02 +6.476299313e+02 -1.0589e+00 -9.7668e-01 -5.1976e-02 +4.2175e+00 -4.9897e+00 -2.9541e+00 -1.4541e+00 -4.0907e+00 -3.0467e+00 +1.5450e+00 -1.1571e+00 +4.6110e+00 -6.8343e-02 -3.7825e+00 +1.1455e+00 +5.8757e-02 +2.1811e+00 +2.2347e+00 -2.4580e+00 -3.8055e+00
129 +5.954558853e+02 +5.954558853e+02 +4.774258853e+02 +4.774258853e+02 -1.3591e+00 +1.4905e+00 -4.8752e+00 -6.8119e-01 -4.8970e+00 -3.1943e+00 -1.6814e+00 -1.4051e+00 -7.9726e-01 +2.4234e-01 -4.1173e+00 -1.3573e+00 +4.2586e+00 -2.2823e+00 +2.7767e-01 -6.0566e-01 -3.4365e-01 +2.8822e+00 +2.1006e+00 -1.1788e+00
% function evaluation | noise-free fitness - Fopt (4.816000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.696955785e+03 +1.696955785e+03 +1.745115785e+03 +1.745115785e+03 +3.7019e+00 -2.8271e+00 -1.0411e+00 -4.6905e+00 -1.2212e+00 -1.8099e+00 +4.6794e+00 -4.3852e+00 -4.5134e+00 -1.1752e+00 -3.1374e-01 +1.4842e+00 +4.8725e+00 +8.1839e-02 -4.5430e-02 +2.6944e+00 -4.9177e+00 +5.3336e-01 +3.2046e+00 +1.8017e+00
4 +5.944384503e+02 +5.944384503e+02 +6.425984503e+02 +6.425984503e+02 -4.2246e+00 +4.1487e-01 -1.5809e+00 -3.2818e+00 -3.2004e+00 -1.6495e+00 -4.9773e+00 -3.0638e+00 -1.9628e+00 +2.3418e+00 +7.1340e-01 -3.6979e+00 +3.5173e+00 +2.4608e+00 -4.7749e+00 -4.7515e+00 +2.8798e+00 +5.9594e-01 +2.1421e+00 -2.0118e+00
% function evaluation | noise-free fitness - Fopt (8.384000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.795721248e+03 +4.795721248e+03 +4.879561248e+03 +4.879561248e+03 -3.7622e+00 +3.4342e+00 +1.7512e+00 +6.2358e-01 -6.3315e-01 -4.8008e+00 -1.5614e+00 +2.3802e+00 +2.3454e+00 -3.4483e+00 -1.8338e+00 +1.3338e+00 +1.6320e+00 +2.6726e+00 +2.5657e+00 +3.8016e+00 -1.5171e+00 -3.2649e+00 +3.3428e+00 -2.4604e+00
2 +3.122585918e+03 +3.122585918e+03 +3.206425918e+03 +3.206425918e+03 +3.6622e+00 -6.5884e-01 +3.0011e+00 -4.2073e+00 +2.8219e+00 +1.0184e+00 +2.1050e+00 +3.0874e+00 +1.4501e+00 +2.1209e+00 +2.6128e+00 +2.4992e+00 -2.8758e+00 +1.1425e+00 -5.5214e-01 -2.9683e-02 -1.1304e+00 -3.0327e+00 -2.3703e-01 +2.3320e+00
