% function evaluation | noise-free fitness - Fopt (6.870000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
39 +5.974619229e+00 +5.974619229e+00 -3.664753808e+02 -3.664753808e+02 +4.2628e+00 -1.5656e-01 +1.6339e+00 -2.1209e+00 -3.3835e+00 -7.9319e-02 -1.1219e+00 -9.4395e-01 -1.2731e+00 -4.4264e+00 -3.1037e+00 -4.4416e+00 +2.0890e+00 +9.2411e-01 +2.3373e+00 +3.1674e+00 -7.6504e-01 +4.5955e+00 +3.6350e+00 -1.3289e+00
% function evaluation | noise-free fitness - Fopt (8.450000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.028326413e+01 +2.028326413e+01 +2.873326413e+01 +2.873326413e+01 -4.0834e+00 +3.1656e+00 +3.1835e-01 +1.0936e+00 +2.2358e+00 +2.7264e+00 +3.5428e+00 -7.3914e-01 -4.5316e+00 +3.3042e+00 +4.2162e-01 -4.4318e+00 -3.7962e+00 -1.6493e+00 +4.0330e+00 +3.1404e+00 -8.9547e-01 -3.8489e+00 -1.3877e+00 -1.4339e+00
2 +1.415323055e+01 +1.415323055e+01 +2.260323055e+01 +2.260323055e+01 -1.5661e-01 +3.3261e+00 +1.3910e+00 -9.2555e-01 -4.0517e+00 +7.4362e-01 -2.8518e+00 +1.5393e+00 +1.1680e+00 -2.3827e+00 +4.5817e+00 -4.8526e+00 -8.7181e-01 -2.7020e+00 -8.8230e-01 +2.1836e+00 -2.5972e+00 -1.8423e+00 -1.8474e+00 -5.0562e-02
3 +9.380363540e+00 +9.380363540e+00 +1.783036354e+01 +1.783036354e+01 +1.6790e+00 -2.4410e+00 -1.5551e+00 +4.9006e+00 -1.7137e+00 +3.2633e+00 -2.6912e+00 +3.7054e+00 -1.0926e+00 -6.8880e-01 -6.4343e-01 -3.9502e+00 +1.1545e+00 +4.6094e+00 -9.7848e-01 -4.7977e+00 +1.9945e+00 +6.3018e-01 -1.0815e+00 +1.5588e+00
57 +4.888804547e+00 +4.888804547e+00 +1.333880455e+01 +1.333880455e+01 +4.4604e+00 -8.7209e-01 -3.2886e+00 +4.0385e+00 +3.7675e+00 -3.2221e+00 -1.3164e+00 +3.7231e+00 +2.2196e+00 -6.7109e-01 +3.1636e+00 -7.2940e-01 +3.7067e+00 +2.0661e+00 -2.1643e+00 -4.3802e+00 +3.8571e+00 +1.8600e+00 -9.5533e-01 -3.5854e-01
770 +3.251428311e+00 +3.251428311e+00 +1.170142831e+01 +1.170142831e+01 -4.9075e+00 +2.8246e+00 +3.4103e+00 -4.6428e-02 -3.8301e+00 +4.8851e-01 +4.8500e+00 -4.8346e+00 -4.7032e+00 -2.4995e+00 -3.4751e+00 +2.9976e+00 +4.8613e-01 +3.2857e+00 -4.2478e+00 +4.0221e+00 +2.2514e+00 +4.8157e+00 +4.1520e+00 -2.2689e+00
% function evaluation | noise-free fitness - Fopt (1.184000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.779468232e+01 +1.779468232e+01 +2.963468232e+01 +2.963468232e+01 -2.1754e+00 -2.7410e+00 -5.1055e-01 +3.7493e+00 -1.3926e+00 +2.3041e+00 -5.6808e-01 -2.1373e+00 +7.8945e-01 -4.5678e+00 -2.8672e-01 +1.1485e+00 +3.2053e+00 +6.8972e-01 -1.2053e+00 -4.7299e+00 +5.1394e-01 +3.2760e+00 -5.5500e-01 -4.0179e+00
2 +1.070072530e+01 +1.070072530e+01 +2.254072530e+01 +2.254072530e+01 -2.9484e+00 -1.7158e+00 -9.3731e-02 +9.5191e-02 +2.4816e+00 -4.1139e+00 -1.1457e+00 +1.0679e+00 -3.5675e+00 -3.2704e-01 -2.7721e+00 +8.6129e-01 +2.6606e+00 +4.5372e+00 +4.5079e+00 +2.1791e+00 -6.4203e-01 +1.5473e+00 +4.0499e+00 -4.1162e+00
16 +9.914174689e+00 +9.914174689e+00 +2.175417469e+01 +2.175417469e+01 -2.4547e+00 -2.5083e+00 +4.4075e-01 +1.3518e-01 +1.9188e+00 +3.3094e+00 +2.7389e+00 -4.4238e-01 -4.9750e+00 -1.6716e+00 +1.6377e-01 +4.6182e+00 +8.1972e-01 -2.9023e+00 -1.4651e-01 -2.3149e+00 -9.0639e-01 +2.9844e+00 -3.8400e+00 -3.5061e+00
27 +6.200021891e+00 +6.200021891e+00 +1.804002189e+01 +1.804002189e+01 -4.1241e+00 +1.3246e+00 -1.0842e+00 -1.1706e+00 -3.0607e+00 +2.6830e+00 -2.7816e+00 +4.3909e+00 +3.2201e+00 -4.7271e+00 -1.4739e+00 -2.5534e+00 -3.1614e+00 -4.5226e+00 +1.8376e+00 +4.9639e+00 -3.4452e+00 +3.4730e+00 +1.3693e+00 -2.0012e+00
152 +3.973500293e+00 +3.973500293e+00 +1.581350029e+01 +1.581350029e+01 +3.5288e+00 +1.7349e+00 +6.5816e-02 +1.7679e+00 -2.2255e+00 +1.9557e+00 +3.8103e+00 +2.1808e+00 +9.7363e-01 -2.4997e+00 -3.0585e+00 +3.7844e+00 +2.3110e+00 +4.6520e+00 +3.4287e+00 +1.8058e+00 -4.7683e+00 -1.1756e+00 +3.6275e+00 +4.6987e+00
% function evaluation | noise-free fitness - Fopt (1.581200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.097797131e+00 +6.097797131e+00 +1.642177971e+02 +1.642177971e+02 +1.3388e-01 +1.9271e+00 +1.5486e+00 +2.3441e+00 -1.9120e+00 +3.1430e+00 +1.2826e+00 -1.1105e+00 -2.8687e-01 +9.1581e-01 -1.2089e+00 -3.8047e-02 +4.8700e+00 +3.4575e+00 -2.9580e-01 +3.3060e+00 +3.4061e+00 -3.0979e+00 +5.9129e-01 +2.2540e+00
% function evaluation | noise-free fitness - Fopt (-1.021200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.829542518e+01 +1.829542518e+01 -8.382457482e+01 -8.382457482e+01 +1.8097e+00 -4.5693e+00 -4.2346e+00 -2.0856e+00 -2.8331e+00 +2.3121e+00 +2.7446e+00 +1.3151e-01 +5.1866e-01 -1.7442e+00 -3.4826e+00 +2.0963e+00 -3.3797e+00 +8.2309e-01 -1.4217e-01 +1.3138e+00 -5.4310e-01 -3.6585e+00 -1.6329e+00 -3.5479e+00
5 +8.475733664e+00 +8.475733664e+00 -9.364426634e+01 -9.364426634e+01 -4.1746e+00 +1.9319e+00 -3.5874e-01 -9.9741e-02 +2.6606e+00 +2.2452e+00 -1.6942e-01 +1.1428e+00 +7.2906e-01 -9.9680e-01 +1.7927e-01 -2.3849e-01 -4.0083e+00 -2.1818e+00 -3.6172e+00 -3.7206e+00 -3.3531e+00 -4.4148e+00 -3.5566e+00 -1.3245e+00
10 +4.598535778e+00 +4.598535778e+00 -9.752146422e+01 -9.752146422e+01 -3.1258e+00 +4.4026e+00 +2.6283e+00 -4.2115e+00 +4.8449e+00 +3.8805e+00 -1.7827e+00 +3.7034e+00 -2.4192e+00 -4.2535e+00 -4.4303e+00 +4.3642e+00 +1.1416e+00 +2.2219e+00 +2.7685e+00 -3.5851e-01 +3.4994e+00 -7.2079e-01 -3.2077e+00 +9.4911e-01
376 +3.893335327e+00 +3.893335327e+00 -9.822666467e+01 -9.822666467e+01 -5.8557e-01 +1.6162e+00 +1.5098e+00 -9.8643e-01 +3.0513e+00 -4.2759e+00 -4.8387e-01 +3.7833e+00 +1.5077e+00 -3.4710e+00 -4.7735e+00 +1.1997e+00 -1.2674e+00 -2.0459e+00 -1.9883e+00 +1.4449e+00 +8.4882e-01 -2.7060e+00 -3.2230e+00 +4.2454e+00
% function evaluation | noise-free fitness - Fopt (-8.798000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.144895587e+01 +1.144895587e+01 -7.653104413e+01 -7.653104413e+01 +4.5194e+00 -3.4677e+00 -5.4586e-01 +6.2618e-01 +1.6886e+00 +3.7642e+00 -2.7857e+00 -4.0465e+00 -3.6965e+00 -2.6588e+00 -4.2965e+00 -2.0292e+00 +4.1107e+00 +4.1645e+00 -1.4702e-01 +1.7833e+00 -3.0012e+00 +1.4991e-01 -4.8079e+00 -1.9801e+00
3 +6.921476108e+00 +6.921476108e+00 -8.105852389e+01 -8.105852389e+01 -4.9852e-01 +4.4564e+00 -2.4684e+00 -9.1069e-01 +1.0487e-01 -3.1313e+00 +4.6848e+00 +4.4669e+00 -2.0275e-02 +3.4140e+00 +3.7377e-01 -1.4524e+00 -4.4905e+00 +2.4106e+00 +1.5343e+00 +4.2413e+00 -2.6138e+00 +1.7982e+00 -2.2491e+00 -1.4514e+00
84 +5.797533379e+00 +5.797533379e+00 -8.218246662e+01 -8.218246662e+01 -2.2329e+00 -4.2128e+00 -4.8450e+00 +1.6598e+00 -1.1551e+00 -2.2798e+00 -4.5143e+00 +6.0986e-01 +4.3817e-01 -1.9065e-01 -3.3566e+00 -8.6090e-01 +1.9925e+00 +4.5022e+00 +4.7627e+00 +4.6630e+00 -4.5847e+00 +2.2380e+00 +1.4154e+00 +8.9892e-01
1139 +3.081520822e+00 +3.081520822e+00 -8.489847918e+01 -8.489847918e+01 +2.0000e+00 +4.0000e+00 +4.5584e-01 +1.0022e+00 -3.5000e+00 +7.0815e-01 -5.0000e+00 +3.0000e+00 -1.0573e+00 -2.4164e+00 -4.6875e-02 +6.1440e-01 -1.9075e+00 -4.0000e+00 -4.1235e+00 +1.6661e+00 -3.5000e+00 -2.0000e+00 -1.0938e-01 -3.6364e+00
