% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
2 +2.296564129e+03 +2.296564129e+03 +2.334264129e+03 +2.334264129e+03 +3.3550e+00 +2.5028e-01 +4.5025e+00 -6.2218e-01 -8.7455e-02 -4.7065e+00 +1.1645e+00 +3.6942e+00 -4.6860e-01 +2.3930e+00 +8.7162e-01 -2.6271e+00 +1.4149e-01 +1.4894e+00 -2.6745e+00 -3.8736e-01 +2.8534e+00 +3.3770e+00 +1.6621e+00 +3.4670e+00
4 +8.106331791e+02 +8.106331791e+02 +8.483331791e+02 +8.483331791e+02 +2.3515e+00 +4.9879e+00 +1.2221e-02 -3.3688e-01 +4.9473e+00 +2.1401e+00 +1.3223e+00 -1.2827e+00 -3.8766e+00 -3.3056e+00 +1.5810e+00 -3.3874e+00 +4.2641e+00 +1.5421e+00 -2.3443e-02 +9.8084e-01 +1.6842e-01 -1.4463e+00 +5.5061e-01 +1.9230e+00
% function evaluation | noise-free fitness - Fopt (6.956900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.038654975e+03 +7.038654975e+03 +7.734344975e+03 +7.734344975e+03 +4.5256e+00 -4.7378e+00 -3.5725e+00 +3.3914e+00 +2.9312e-01 -2.1723e+00 -1.1350e+00 +1.1888e+00 +4.2295e+00 +4.3104e+00 -1.7506e+00 +2.8001e+00 -2.3707e+00 +5.6745e-01 +4.2107e+00 -2.2952e-01 -4.7073e-01 +2.9416e+00 -9.9095e-01 +4.6784e+00
3 +3.930081611e+03 +3.930081611e+03 +4.625771611e+03 +4.625771611e+03 +6.8741e-01 -3.5143e+00 +3.3183e+00 +1.1419e+00 +4.0340e+00 +1.9298e-01 +4.4305e+00 +2.1318e+00 +2.0724e+00 +3.3097e+00 +2.1574e+00 +3.8658e+00 -8.3228e-01 -8.8621e-01 -3.4176e+00 +3.6625e+00 -4.6741e+00 +4.4878e+00 +1.4669e+00 +2.7566e+00
8 +1.425343754e+03 +1.425343754e+03 +2.121033754e+03 +2.121033754e+03 +3.8277e+00 -1.1336e+00 -2.2924e+00 +4.3163e+00 -2.3698e+00 -2.8039e+00 -4.5793e+00 +2.9519e-01 +4.9156e-01 +1.2728e+00 -1.3384e-01 +4.1383e+00 -6.6284e-01 -4.5359e+00 +2.0926e+00 -4.4978e+00 +1.2657e+00 -3.6255e+00 -5.4386e-01 -4.6995e+00
37 +7.847062069e+02 +7.847062069e+02 +1.480396207e+03 +1.480396207e+03 +3.7938e+00 -1.4919e-01 -4.8247e+00 +3.3240e+00 +1.8930e+00 -4.3692e+00 -2.0345e+00 +3.0073e+00 -2.6441e+00 -1.7460e+00 -2.4904e+00 +2.3052e+00 +2.7838e+00 -1.0493e+00 +2.1117e+00 -9.3599e-01 +4.4287e+00 +3.3392e+00 -3.7726e+00 -1.2213e+00
239 +4.680071213e+02 +4.680071213e+02 +1.163697121e+03 +1.163697121e+03 +1.7042e-308 -3.9993e+00 +0.0000e+00 -7.0458e-309 -8.3106e-309 -2.6466e-308 +1.3471e-308 -2.8914e+00 +0.0000e+00 +3.2738e+00 +0.0000e+00 -2.1953e+00 +1.9141e+00 -7.1876e-309 -5.6800e-01 +2.6617e-01 +2.5773e+00 +1.2601e+00 -3.3195e+00 -9.8539e-01
% function evaluation | noise-free fitness - Fopt (-1.180300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.057198911e+03 +2.057198911e+03 +1.939168911e+03 +1.939168911e+03 +3.5872e+00 +2.7423e+00 -4.7258e+00 +1.6788e+00 -3.0671e+00 +3.2092e+00 -8.2959e-01 +1.9289e+00 -3.9627e-01 +3.2525e+00 +3.2492e+00 -4.8879e+00 +3.0736e+00 -4.1536e+00 +1.5303e+00 -7.1573e-01 +1.0365e+00 +3.0395e+00 -4.1987e-01 +2.0448e+00
4 +1.491379168e+03 +1.491379168e+03 +1.373349168e+03 +1.373349168e+03 +1.6663e+00 +3.0454e+00 +2.1556e+00 +1.7078e+00 +2.9911e+00 +2.0691e+00 +1.4091e+00 -1.9570e+00 +1.5438e+00 +4.7991e-01 +1.0649e+00 +9.3494e-01 +4.3832e+00 -4.6998e+00 -2.0201e+00 +2.7067e+00 -9.8061e-01 -4.8203e+00 -4.6505e+00 -2.2729e+00
7 +7.842718483e+02 +7.842718483e+02 +6.662418483e+02 +6.662418483e+02 +1.8265e+00 -4.9907e+00 +1.8007e+00 +3.9849e+00 -9.4504e-01 +2.7659e+00 -2.0616e+00 +1.6245e+00 -4.0773e+00 +1.1384e+00 -1.4859e+00 +2.7303e+00 +1.7604e+00 -1.0851e+00 +7.6142e-01 +1.7349e+00 -1.9150e+00 +1.6215e+00 +2.0930e+00 -4.1504e+00
% function evaluation | noise-free fitness - Fopt (4.816000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.096632739e+03 +1.096632739e+03 +1.144792739e+03 +1.144792739e+03 -2.2554e+00 -5.0407e-01 +3.4844e-02 +2.1239e+00 +2.1099e+00 -2.3008e+00 -3.7907e+00 +1.6954e+00 +2.3874e+00 -2.3623e+00 +3.8794e+00 -1.8277e+00 -3.4693e+00 +1.6455e+00 -4.6058e+00 +2.0704e+00 -5.0988e-01 -3.1273e+00 -5.9142e-01 -3.9223e+00
2 +8.596296259e+02 +8.596296259e+02 +9.077896259e+02 +9.077896259e+02 +6.8539e-01 -2.8712e+00 -2.2445e+00 +2.9923e+00 -3.1034e+00 +4.7249e+00 -3.3172e+00 -4.8023e-01 +1.4068e+00 +3.3626e+00 -2.2058e+00 -3.0520e+00 -5.6858e-01 -5.2504e-01 -3.9499e+00 -1.4689e+00 +3.1048e+00 -3.2113e+00 -4.2928e+00 -1.0210e+00
165 +6.101690023e+02 +6.101690023e+02 +6.583290023e+02 +6.583290023e+02 -1.2095e+00 -1.2477e+00 -1.2281e+00 +1.9884e+00 +4.7107e+00 -2.9419e+00 -2.6572e+00 +3.4028e-01 +1.5843e+00 +1.3945e+00 +2.3877e+00 -4.6287e+00 +1.5680e+00 -1.8549e-01 -3.8812e+00 +7.3680e-01 +4.7796e+00 +3.8444e+00 -1.2702e+00 -3.2748e+00
% function evaluation | noise-free fitness - Fopt (8.384000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.747893791e+03 +7.747893791e+03 +7.831733791e+03 +7.831733791e+03 +2.2809e-01 -1.7535e+00 -3.2668e+00 +3.3597e+00 +4.9580e+00 -2.8342e+00 -2.3213e+00 +4.6582e+00 +2.6282e-01 -1.7862e-01 -1.3080e+00 +1.9758e-01 +2.6150e+00 -3.7006e+00 -3.7964e+00 -1.0605e+00 +1.2063e+00 +1.3515e+00 -1.0014e+00 +3.9498e+00
3 +1.886940216e+03 +1.886940216e+03 +1.970780216e+03 +1.970780216e+03 +2.9146e+00 +2.9300e+00 -3.7776e+00 +2.6520e+00 -3.1298e+00 +9.5801e-01 +4.0499e+00 +1.1714e-01 -2.3633e+00 +3.0676e+00 -1.3685e+00 -1.5332e+00 -2.9756e+00 +3.0702e+00 +3.0167e+00 -2.5378e+00 -2.6208e-01 -3.8002e+00 -2.5584e+00 +1.2592e+00
7 +8.192633182e+02 +8.192633182e+02 +9.031033182e+02 +9.031033182e+02 -4.4738e+00 -1.2421e+00 +3.9008e+00 -3.5523e+00 -4.8800e+00 +1.9716e+00 -3.3903e+00 +1.6688e+00 +2.5995e+00 -4.8928e-01 +2.7906e+00 +2.9631e+00 +2.4466e-01 -2.5374e+00 -1.4475e+00 +2.3901e-01 -9.7243e-01 +4.0631e+00 -4.1134e+00 -3.5110e+00
80 +5.364826588e+02 +5.364826588e+02 +6.203226588e+02 +6.203226588e+02 -2.6838e+00 +3.4502e+00 +3.3659e+00 +2.9787e+00 +2.0452e+00 -3.4047e+00 -2.3856e+00 -2.7459e+00 -2.5027e+00 +2.4092e+00 -1.7673e+00 +2.1768e+00 -3.4249e+00 +2.1627e+00 +1.3104e+00 +8.5365e-02 -4.7479e+00 -2.6830e-01 -3.9136e+00 -3.2296e+00
% function evaluation | noise-free fitness - Fopt (1.536000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.482335524e+03 +3.482335524e+03 +3.497695524e+03 +3.497695524e+03 -2.9132e+00 +2.6659e+00 -1.5573e+00 +3.3181e+00 -4.0021e+00 -1.8515e+00 -2.7889e+00 -2.0553e+00 -1.9558e+00 +1.4117e+00 -4.6451e+00 +3.4745e-01 +2.7840e+00 +9.5174e-01 -4.4690e+00 +3.7939e+00 +1.6436e+00 +1.5308e+00 +2.6794e+00 +3.8444e-01
3 +1.572083980e+03 +1.572083980e+03 +1.587443980e+03 +1.587443980e+03 +1.7165e-02 -2.7862e+00 +1.3746e+00 +3.0665e+00 +1.4394e+00 +1.6156e+00 -6.6240e-01 -7.2296e-01 -3.1405e+00 -4.2075e+00 +3.3766e-01 +1.5874e+00 -4.9201e+00 -2.6682e+00 -5.5638e-01 -3.7572e+00 +2.0768e+00 -4.0759e+00 +2.4298e-01 -4.7633e+00
23 +9.317133332e+02 +9.317133332e+02 +9.470733332e+02 +9.470733332e+02 -2.4908e+00 -2.7077e+00 -3.2989e+00 -5.9047e-01 -3.0350e+00 -2.2294e+00 -4.3681e+00 +2.4089e+00 -1.8731e+00 -4.3508e+00 +6.3476e-01 -3.0844e+00 +1.7144e+00 -4.7473e+00 +4.1058e+00 -4.5867e+00 +1.0064e+00 -2.3910e-01 -2.6310e+00 +8.3824e-01
82 +6.118891768e+02 +6.118891768e+02 +6.272491768e+02 +6.272491768e+02 +3.2373e+00 +3.4689e+00 -2.4136e+00 -3.0841e+00 +2.1903e+00 -4.6394e+00 -1.5738e+00 -2.3602e+00 -1.6392e+00 +1.0131e+00 -4.8243e+00 -4.4926e+00 -8.0597e-01 +3.2690e+00 +3.8292e+00 +7.8950e-01 +3.3748e+00 +4.2609e+00 -4.2027e+00 -2.6220e+00
